Package	Required_version	filename	downloadlink
Bayesthresh	2.0.1	Bayesthresh_2.0.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/Bayesthresh/Bayesthresh_2.0.1.tar.gz
BayesTree	0.3-1.4	BayesTree_0.3-1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/BayesTree/BayesTree_0.3-1.4.tar.gz
BayesValidate	0.0	BayesValidate_0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/BayesValidate/BayesValidate_0.0.tar.gz
BayesX	0.2-9	BayesX_0.2-9.tar.gz	https://cran.r-project.org/src/contrib/Archive/BayesX/BayesX_0.2-9.tar.gz
BayHaz	0.1-3	BayHaz_0.1-3.tar.gz	https://cran.r-project.org/src/contrib/Archive/BayHaz/BayHaz_0.1-3.tar.gz
bbemkr	2.0	bbemkr_2.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/bbemkr/bbemkr_2.0.tar.gz
BCBCSF	1.0-1	BCBCSF_1.0-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/BCBCSF/BCBCSF_1.0-1.tar.gz
BCE	2.1	BCE_2.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/BCE/BCE_2.1.tar.gz
bclust	1.5	bclust_1.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/bclust/bclust_1.5.tar.gz
bcp	4.0.0	bcp_4.0.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/bcp/bcp_4.0.0.tar.gz
BDgraph	2.45	BDgraph_2.45.tar.gz	https://cran.r-project.org/src/contrib/Archive/BDgraph/BDgraph_2.45.tar.gz
beanplot	1.2	beanplot_1.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/beanplot/beanplot_1.2.tar.gz
beeswarm	0.2.3	beeswarm_0.2.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/beeswarm/beeswarm_0.2.3.tar.gz
benford.analysis	0.1.4.1	benford.analysis_0.1.4.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/benford.analysis/benford.analysis_0.1.4.1.tar.gz
BenfordTests	1.2.0	BenfordTests_1.2.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/BenfordTests/BenfordTests_1.2.0.tar.gz
bfp	0.0-38	bfp_0.0-38.tar.gz	https://cran.r-project.org/src/contrib/Archive/bfp/bfp_0.0-38.tar.gz
BH	1.66.0-1	BH_1.66.0-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/BH/BH_1.66.0-1.tar.gz
biglm	0.9-1	biglm_0.9-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/biglm/biglm_0.9-1.tar.gz
bindr	0.1.1	bindr_0.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/bindr/bindr_0.1.1.tar.gz
bindrcpp	0.2.2	bindrcpp_0.2.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/bindrcpp/bindrcpp_0.2.2.tar.gz
binom	1.1-1	binom_1.1-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/binom/binom_1.1-1.tar.gz
bisoreg	1.4	bisoreg_1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/bisoreg/bisoreg_1.4.tar.gz
bit	1.1-12	bit_1.1-12.tar.gz	https://cran.r-project.org/src/contrib/Archive/bit/bit_1.1-12.tar.gz
bit64	0.9-7	bit64_0.9-7.tar.gz	https://cran.r-project.org/src/contrib/Archive/bit64/bit64_0.9-7.tar.gz
bitops	1.0-6	bitops_1.0-6.tar.gz	https://cran.r-project.org/src/contrib/Archive/bitops/bitops_1.0-6.tar.gz
bizdays	1.0.6	bizdays_1.0.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/bizdays/bizdays_1.0.6.tar.gz
blandr	0.5.1	blandr_0.5.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/blandr/blandr_0.5.1.tar.gz
blme	1.0-4	blme_1.0-4.tar.gz	https://cran.r-project.org/src/contrib/Archive/blme/blme_1.0-4.tar.gz
blob	1.1.1	blob_1.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/blob/blob_1.1.1.tar.gz
BLR	1.4	BLR_1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/BLR/BLR_1.4.tar.gz
BMA	3.18.8	BMA_3.18.8.tar.gz	https://cran.r-project.org/src/contrib/Archive/BMA/BMA_3.18.8.tar.gz
Bmix	0.6	Bmix_0.6.tar.gz	https://cran.r-project.org/src/contrib/Archive/Bmix/Bmix_0.6.tar.gz
bmp	0.3	bmp_0.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/bmp/bmp_0.3.tar.gz
BMS	0.3.4	BMS_0.3.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/BMS/BMS_0.3.4.tar.gz
bnlearn	4.3	bnlearn_4.3.tar.gz	https://cran.r-project.org/src/contrib/Archive/bnlearn/bnlearn_4.3.tar.gz
boa	1.1.8-2	boa_1.1.8-2.tar.gz	https://cran.r-project.org/src/contrib/Archive/boa/boa_1.1.8-2.tar.gz
bomrang	0.1.4	bomrang_0.1.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/bomrang/bomrang_0.1.4.tar.gz
BoolNet	2.1.5	BoolNet_2.1.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/BoolNet/BoolNet_2.1.5.tar.gz
Boom	0.7	Boom_0.7.tar.gz	https://cran.r-project.org/src/contrib/Archive/Boom/Boom_0.7.tar.gz
BoomSpikeSlab	0.9.0	BoomSpikeSlab_0.9.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/BoomSpikeSlab/BoomSpikeSlab_0.9.0.tar.gz
boot	1.3-20	boot_1.3-20.tar.gz	https://cran.r-project.org/src/contrib/Archive/boot/boot_1.3-20.tar.gz
bootstrap	2017.2	bootstrap_2017.2.tar.gz	https://cran.r-project.org/src/contrib/Archive/bootstrap/bootstrap_2017.2.tar.gz
Boruta	5.3.0	Boruta_5.3.0.tar.gz	https://cran.r-project.org/src/contrib/Archive/Boruta/Boruta_5.3.0.tar.gz
bqtl	1.0-32	bqtl_1.0-32.tar.gz	https://cran.r-project.org/src/contrib/Archive/bqtl/bqtl_1.0-32.tar.gz
BradleyTerry2	1.0-8	BradleyTerry2_1.0-8.tar.gz	https://cran.r-project.org/src/contrib/Archive/BradleyTerry2/BradleyTerry2_1.0-8.tar.gz
brew	1.0-6	brew_1.0-6.tar.gz	https://cran.r-project.org/src/contrib/Archive/brew/brew_1.0-6.tar.gz
brglm	0.6.1	brglm_0.6.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/brglm/brglm_0.6.1.tar.gz
broom	0.4.4	broom_0.4.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/broom/broom_0.4.4.tar.gz
bspec	1.5	bspec_1.5.tar.gz	https://cran.r-project.org/src/contrib/Archive/bspec/bspec_1.5.tar.gz
bspmma	0.1-1	bspmma_0.1-1.tar.gz	https://cran.r-project.org/src/contrib/Archive/bspmma/bspmma_0.1-1.tar.gz
bsts	0.7.1	bsts_0.7.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/bsts/bsts_0.7.1.tar.gz
bupaR	0.4.4	bupaR_0.4.4.tar.gz	https://cran.r-project.org/src/contrib/Archive/bupaR/bupaR_0.4.4.tar.gz
BVS	4.12.1	BVS_4.12.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/BVS/BVS_4.12.1.tar.gz
C50	0.1.1	C50_0.1.1.tar.gz	https://cran.r-project.org/src/contrib/Archive/C50/C50_0.1.1.tar.gz
Cairo	1.5-9	Cairo_1.5-9.tar.gz	https://cran.r-project.org/src/contrib/Archive/Cairo/Cairo_1.5-9.tar.gz
